"LocID","Time","AgeGrp","SexID"
4,"2010-2015","85-89",1
4,"2010-2015","85-89",2
4,"2010-2015","85-89",3
4,"2010-2015","90-94",1
4,"2010-2015","90-94",2
4,"2010-2015","90-94",3
4,"2010-2015","95-99",1
4,"2010-2015","95-99",2
4,"2010-2015","95-99",3
4,"2010-2015","100+",1
4,"2010-2015","100+",2
4,"2010-2015","100+",3
4,"2015-2020","0",1
4,"2015-2020","0",2
4,"2015-2020","0",3
4,"2015-2020","1-4",1
4,"2015-2020","1-4",2
4,"2015-2020","1-4",3
4,"2015-2020","5-9",1
4,"2015-2020","5-9",2
4,"2015-2020","5-9",3
4,"2015-2020","10-14",1
4,"2015-2020","10-14",2
4,"2015-2020","10-14",3
4,"2015-2020","15-19",1
4,"2015-2020","15-19",2
4,"2015-2020","15-19",3
4,"2015-2020","20-24",1
4,"2015-2020","20-24",2
4,"2015-2020","20-24",3
4,"2015-2020","25-29",1
4,"2015-2020","25-29",2
4,"2015-2020","25-29",3
4,"2015-2020","30-34",1
4,"2015-2020","30-34",2
4,"2015-2020","30-34",3
4,"2015-2020","35-39",1
4,"2015-2020","35-39",2
4,"2015-2020","35-39",3
4,"2015-2020","40-44",1
4,"2015-2020","40-44",2
4,"2015-2020","40-44",3
4,"2015-2020","45-49",1
4,"2015-2020","45-49",2
4,"2015-2020","45-49",3
4,"2015-2020","50-54",1
4,"2015-2020","50-54",2
4,"2015-2020","50-54",3
4,"2015-2020","55-59",1
4,"2015-2020","55-59",2
4,"2015-2020","55-59",3
4,"2015-2020","60-64",1
4,"2015-2020","60-64",2
4,"2015-2020","60-64",3
4,"2015-2020","65-69",1
4,"2015-2020","65-69",2
4,"2015-2020","65-69",3
4,"2015-2020","70-74",1
4,"2015-2020","70-74",2
4,"2015-2020","70-74",3
4,"2015-2020","75-79",1
4,"2015-2020","75-79",2
4,"2015-2020","75-79",3
4,"2015-2020","80-84",1
4,"2015-2020","80-84",2
4,"2015-2020","80-84",3
4,"2015-2020","85-89",1
4,"2015-2020","85-89",2
4,"2015-2020","85-89",3
4,"2015-2020","90-94",1
4,"2015-2020","90-94",2
4,"2015-2020","90-94",3
4,"2015-2020","95-99",1
4,"2015-2020","95-99",2
4,"2015-2020","95-99",3
4,"2015-2020","100+",1
4,"2015-2020","100+",2
4,"2015-2020","100+",3
4,"2020-2025","0",1
4,"2020-2025","0",2
4,"2020-2025","0",3
4,"2020-2025","1-4",1
4,"2020-2025","1-4",2
4,"2020-2025","1-4",3
4,"2020-2025","5-9",1
4,"2020-2025","5-9",2
4,"2020-2025","5-9",3
4,"2020-2025","10-14",1
4,"2020-2025","10-14",2
